"OBJECT           ","OTHER             ","TYPE ","CON","RA     ","DEC   ","MAG ","SUBR","U2K","TI","SIZE_MAX","SIZE_MIN","PA ","CLASS      ","NSTS","BRSTR","BCHM","NGC DESCR                                              ","NOTES                                                                                 "
"NGC 7831         ","IC 1530           ","GALXY","AND","00 07.3","+32 37","12.8","12.3","89 ","4 ","   1.5 m","   0.3 m","38 ","Sb         ","    ","     ","    ","eF;vS;mE;vF*v nr                                       ","                                                                                      "
"NGC    5         ","UGC    62         ","GALXY","AND","00 07.8","+35 22","13.3","13.2","89 ","4 ","   1.2 m","   0.7 m","115","Elliptical ","    ","     ","    ","vF;vS;N=*13;14                                         ","compact                                                                               "
"NGC 7836         ","UGC    65         ","GALXY","AND","00 08.0","+33 04","13.7","12.7","89 ","4 ","   0.9 m","   0.5 m","133","Ir         ","    ","     ","    ","eF;vS;R;bet 2 st                                       ","                                                                                      "
"NGC   11         ","UGC    73         ","GALXY","AND","00 08.7","+37 27","13.7","12.5","89 ","4 ","   1.5 m","   0.3 m","111","Sa         ","    ","     ","    ","vF;vS;vlE;2 vf st inv                                  ","                                                                                      "
"NGC   13         ","UGC    77         ","GALXY","AND","00 08.8","+33 26","13.2","13.5","89 ","4 ","   2.3 m","   0.6 m","53 ","Sab        ","    ","     ","    ","vF;vS;S st + neb                                       ","H III 866;UGC 77                                                                      "
"NGC    6         ","NGC   20          ","GALXY","AND","00 09.5","+33 19","13.0","99.9","89 ","4 ","        ","        ","   ","E-SO       ","    ","     ","    ","eF;vS;cE = 7831?                                       ","                                                                                      "
"NGC   20         ","NGC    6          ","GALXY","AND","00 09.5","+33 19","13.0","13.8","89 ","4 ","   1.7 m","   1.6 m","140","E-SO       ","    ","     ","    ","F;*10 att                                              ","comp@ 3.8' PA122 0.5x0.2;B * 0.3' n                                                   "
"NGC   27         ","UGC    96         ","GALXY","AND","00 10.5","+29 00","13.4","12.8","89 ","4 ","   1.2 m","   0.5 m","117","Sb         ","    ","     ","    ","eF;vS;E;B * nr                                         ","                                                                                      "
"NGC   19         ","UGC    98         ","GALXY","AND","00 10.7","+32 59","14.1","99.9","89 ","4 ","   1.1 m","   0.6 m","42 ","SBbc Ring  ","    ","     ","    ","eeF;lE;3 vF st around                                  ","                                                                                      "
"NGC   21         ","NGC   29          ","GALXY","AND","00 10.8","+33 21","12.7","12.6","89 ","4 ","   1.5 m","   0.7 m","154","SBbc       ","    ","     ","    ","eF;S;lE                                                ","                                                                                      "
"NGC   29         ","NGC   21          ","GALXY","AND","00 10.8","+33 21","12.7","12.9","89 ","4 ","   1.5 m","   0.7 m","154","SBbc       ","    ","     ","    ","pB;pL;E 0 degrees                                      ","H II 853;UGC 100                                                                      "
"NGC   39         ","UGC   114         ","GALXY","AND","00 12.3","+31 04","13.5","13.6","89 ","4 ","   1.1 m","   1   m","   ","Sc         ","    ","     ","    ","vF;pS;R                                                ","H III 861                                                                             "
"NGC   43         ","UGC   120         ","GALXY","AND","00 13.0","+30 55","12.6","13.4","89 ","4 ","   1.6 m","   1.5 m","   ","SBO        ","    ","     ","    ","eF;* 12 np 45''                                        ","                                                                                      "
"NGC   44         ","                  ","2STAR","AND","00 13.2","+31 17","99.9","99.9","89 ","4 ","        ","        ","   ","           ","    ","     ","    ","eF;vS                                                  ","                                                                                      "
"NGC   48         ","UGC   133         ","GALXY","AND","00 14.0","+48 14","13.6","13.7","59 ","4 ","   1.6 m","   1   m","15 ","SBbc       ","    ","     ","    ","eef;pL;R;v diffic                                      ","                                                                                      "
"NGC   49         ","UGC   136         ","GALXY","AND","00 14.4","+48 15","13.7","13.7","59 ","4 ","   1.1 m","   1   m","165","SO         ","    ","     ","    ","eeF;S;R;2nd of 3                                       ","NGC 51 group;in group of 6;NGC 51 the brightest                                       "
